Process,Port,Internal/Private Access,External,Should we Allow in IPtables?,,Comments
,,,,Monolith env,Non-Monolith env or On-Premises,
SSH ,22,yes,Restricted to IPaddress,yes,yes,Optional
Nginx https,443,-,yes,yes,yes,
Nginx http,80,-,yes,yes,yes,To redirect traffic to https
Monolith Commcare,9010,yes,no,no,depends,routed via nginx
Formplayer,8181,yes,no,no,depends,Accessible to private network
Kafka,9092,yes,no,no,depends,Accessible to private network
Zookeeper,2181,yes,no,no,depends,Accessible to private network
Redis,6379,yes,no,no,depends,Accessible to private network
"PostgreSQL
PgBouncer","5432
6432",yes,no,no,depends,Accessible to private network
RabbitMQ,5672,yes,no,no,depends,Accessible to private network
ElasticSearch Cluster,"9200
9300",yes,no,no,depends,Accessible to private network
CouchDB,"5984
4369",yes,no,no,depends,Accessible to private network
Celery port,5555,,no,no,,
Mail/SMTP ports,,,yes,no,,
