hostname,host_address,group 1,group 2,group 3,group 4,var: hostname,H.var: hot_standby_server,H.var: hot_standby_master,L.var: postgresql_replication_slots,var: replication_slot
citusmaster1,100.71.184.221,citusdb,citusdb_pg_master,citusdb_master,,MUMGCCWCDPRDCCV00,citusmaster1standby,,"[""standby0""]",
citusworker12,100.71.184.222,citusdb,citusdb_pg_master,citusdb_worker,,MUMGCCWCDPRDCWV00,citusworker12standby,,"[""standby0""]",
citusworker13,100.71.184.223,citusdb,citusdb_pg_master,citusdb_worker,,MUMGCCWCDPRDCWV01,citusworker13standby,,"[""standby0""]",
citusworker14,100.71.184.224,citusdb,citusdb_pg_master,citusdb_worker,,MUMGCCWCDPRDCWV02,citusworker14standby,,"[""standby0""]",
citusworker15,100.71.184.225,citusdb,citusdb_pg_master,citusdb_worker,,MUMGCCWCDPRDCWV03,citusworker15standby,,"[""standby0""]",
citusworker16,100.71.184.226,citusdb,citusdb_pg_master,citusdb_worker,,MUMGCCWCDPRDCWV04,citusworker16standby,,"[""standby0""]",
citusworker17,100.71.184.227,citusdb,citusdb_pg_master,citusdb_worker,,MUMGCCWCDPRDCWV05,citusworker17standby,,"[""standby0""]",
citusworker18,100.71.184.228,citusdb,citusdb_pg_master,citusdb_worker,,MUMGCCWCDPRDCWV06,citusworker18standby,,"[""standby0""]",
citusworker19,100.71.184.229,citusdb,citusdb_pg_master,citusdb_worker,,MUMGCCWCDPRDCWV07,citusworker19standby,,"[""standby0""]",
citusworker20,100.71.184.230,citusdb,citusdb_pg_master,citusdb_worker,,MUMGCCWCDPRDCWV08,citusworker20standby,,"[""standby0""]",
citusworker21,100.71.184.231,citusdb,citusdb_pg_master,citusdb_worker,,MUMGCCWCDPRDCWV09,citusworker21standby,,"[""standby0""]",
citusworker22,100.71.184.232,citusdb,citusdb_pg_master,citusdb_worker,,MUMGCCWCDPRDCWV10,citusworker22standby,,"[""standby0""]",
citusworker23,100.71.184.233,citusdb,citusdb_pg_master,citusdb_worker,,MUMGCCWCDPRDCWV11,citusworker23standby,,"[""standby0""]",
citusmaster1standby,100.71.184.234,citusdb,citusdb_pg_standby,citusdb_master,pg_standby,MUMGCCWCDPRDCCV01,,citusmaster1,"[""standby0""]",standby0
citusworker12standby,100.71.184.235,citusdb,citusdb_pg_standby,citusdb_worker,pg_standby,MUMGCCWCDPRDCWV12,,citusworker12,,standby0
citusworker13standby,100.71.184.236,citusdb,citusdb_pg_standby,citusdb_worker,pg_standby,MUMGCCWCDPRDCWV13,,citusworker13,,standby0
citusworker14standby,100.71.184.237,citusdb,citusdb_pg_standby,citusdb_worker,pg_standby,MUMGCCWCDPRDCWV14,,citusworker14,,standby0
citusworker15standby,100.71.184.238,citusdb,citusdb_pg_standby,citusdb_worker,pg_standby,MUMGCCWCDPRDCWV15,,citusworker15,,standby0
citusworker16standby,100.71.184.239,citusdb,citusdb_pg_standby,citusdb_worker,pg_standby,MUMGCCWCDPRDCWV16,,citusworker16,,standby0
citusworker17standby,100.71.184.240,citusdb,citusdb_pg_standby,citusdb_worker,pg_standby,MUMGCCWCDPRDCWV17,,citusworker17,,standby0
citusworker18standby,100.71.184.241,citusdb,citusdb_pg_standby,citusdb_worker,pg_standby,MUMGCCWCDPRDCWV18,,citusworker18,,standby0
citusworker19standby,100.71.184.242,citusdb,citusdb_pg_standby,citusdb_worker,pg_standby,MUMGCCWCDPRDCWV19,,citusworker19,,standby0
citusworker20standby,100.71.184.243,citusdb,citusdb_pg_standby,citusdb_worker,pg_standby,MUMGCCWCDPRDCWV20,,citusworker20,,standby0
citusworker21standby,100.71.184.244,citusdb,citusdb_pg_standby,citusdb_worker,pg_standby,MUMGCCWCDPRDCWV21,,citusworker21,,standby0
citusworker22standby,100.71.184.245,citusdb,citusdb_pg_standby,citusdb_worker,pg_standby,MUMGCCWCDPRDCWV22,,citusworker22,,standby0
citusworker23standby,100.71.184.246,citusdb,citusdb_pg_standby,citusdb_worker,pg_standby,MUMGCCWCDPRDCWV23,,citusworker23,,standby0
,,,,,,,,,,
group,var,val,,type,,,,,,
citusdb,ansible_python_interpreter,/usr/bin/python3,,S,,,,,,
citusdb,pgbouncer_max_connections,3500,,I,,,,,,
citusdb_master,pgbouncer_default_pool,790,,I,,,,,,
citusdb_master,postgresql_checkpoint_completion_target,0.9,,F,,,,,,
citusdb_master,postgresql_default_statistics_target,500,,I,,,,,,
citusdb_master,postgresql_effective_cache_size,80GB,,S,,,,,,
citusdb_master,postgresql_effective_io_concurrency,200,,I,,,,,,
citusdb_master,postgresql_maintenance_work_mem,2GB,,S,,,,,,
citusdb_master,postgresql_max_connections,2000,,I,,,,,,
citusdb_master,postgresql_max_parallel_workers_per_gather,8,,I,,,,,,
citusdb_master,postgresql_max_parallel_maintenance_workers,4,,I,,,,,,
citusdb_master,postgresql_max_wal_size,8GB,,S,,,,,,
citusdb_master,postgresql_max_worker_processes,16,,I,,,,,,
citusdb_master,postgresql_max_parallel_workers,16,,I,,,,,,
citusdb_master,postgresql_min_wal_size,4GB,,S,,,,,,
citusdb_master,postgresql_random_page_cost,1.1,,F,,,,,,
citusdb_master,postgresql_shared_buffers,40GB,,S,,,,,,
citusdb_master,postgresql_wal_buffers,16MB,,S,,,,,,
citusdb_master,postgresql_work_mem,1872kB,,S,,,,,,
citusdb_worker,pgbouncer_default_pool,1500,,I,,,,,,
citusdb_worker,postgresql_checkpoint_completion_target,0.9,,F,,,,,,
citusdb_worker,postgresql_default_statistics_target,500,,I,,,,,,
citusdb_worker,postgresql_effective_cache_size,60GB,,S,,,,,,
citusdb_worker,postgresql_effective_io_concurrency,200,,I,,,,,,
citusdb_worker,postgresql_maintenance_work_mem,2GB,,S,,,,,,
citusdb_worker,postgresql_max_connections,2000,,I,,,,,,
citusdb_worker,postgresql_max_parallel_workers_per_gather,8,,I,,,,,,
citusdb_worker,postgresql_max_parallel_maintenance_workers,4,,I,,,,,,
citusdb_worker,postgresql_max_wal_size,8GB,,S,,,,,,
citusdb_worker,postgresql_max_worker_processes,16,,I,,,,,,
citusdb_worker,postgresql_max_parallel_workers,16,,I,,,,,,
citusdb_worker,postgresql_min_wal_size,4GB,,S,,,,,,
citusdb_worker,postgresql_random_page_cost,1.1,,F,,,,,,
citusdb_worker,postgresql_shared_buffers,20GB,,S,,,,,,
citusdb_worker,postgresql_wal_buffers,16MB,,S,,,,,,
citusdb_worker,postgresql_work_mem,1872kB,,S,,,,,,
citusdb_pg_master,postgresql_enable_archive,True,B,,,,,,,
citusdb_pg_standby,postgresql_enable_archive,True,B,,,,,,,
citusdb_pg_master,postgresql_archive_path,/wal_archive,S,,,,,,,
citusdb_pg_standby,postgresql_archive_path,/wal_archive,S,,,,,,,
citusdb_pg_master,postgresql_archive_command,/bin/true,S,,,,,,,
