hostname,host_address,group 1,group 2,group 3,group 4,var: hostname
celery20,100.71.188.100,celery,,,,MUMGCCWCDPRDCL020
celery21,100.71.188.119,celery,,,,MUMGCCWCDPRDCL021
celery22,100.71.188.120,celery,,,,MUMGCCWCDPRDCL022
celery23,100.71.188.115,celery,,,,MUMGCCWCDPRDCL023
celery24,100.71.188.121,celery,,,,MUMGCCWCDPRDCL024
celery25,100.71.188.95,celery,,,,MUMGCCWCDPRDCL025
celery26,100.71.188.73,celery,,,,MUMGCCWCDPRDCL026
celery27,100.71.188.124,celery,,,,MUMGCCWCDPRDCL027
celery28,100.71.188.122,celery,,,,MUMGCCWCDPRDCL028
celery29,100.71.188.111,celery,,,,MUMGCCWCDPRDCL029
celery30,100.71.188.125,celery,,,,MUMGCCWCDPRDCL030
celery31,100.71.188.114,celery,,,,MUMGCCWCDPRDCL031
celery35,100.71.188.227,celery,,,,MUMGCCWCDPRDCLV035
celery36,100.71.188.228,celery,,,,MUMGCCWCDPRDCLV036
celery37,100.71.188.229,celery,,,,MUMGCCWCDPRDCLV037
celery38,100.71.188.230,celery,,,,MUMGCCWCDPRDCLV038
celery39,100.71.188.231,celery,,,,MUMGCCWCDPRDCLV039
celery40,100.71.188.236,celery,,,,MUMGCCWCDPRDCLV016
celery41,100.71.188.237,celery,,,,MUMGCCWCDPRDCLV017
celery42,100.71.188.238,celery,,,,MUMGCCWCDPRDCLV018
celery43,100.71.188.160,celery,,,,MUMGCCWCDPRDCLV019
celery44,100.71.188.161,celery,,,,MUMGCCWCDPRDCLV020
celery45,100.71.188.162,celery,,,,MUMGCCWCDPRDCLV021
celery46,100.71.188.163,celery,,,,MUMGCCWCDPRDCLV022
celery47,100.71.188.164,celery,,,,MUMGCCWCDPRDCLV023
celery48,100.71.188.165,celery,,,,MUMGCCWCDPRDCLV024
celery49,100.71.188.166,celery,,,,MUMGCCWCDPRDCLV025
celery50,100.71.188.167,celery,,,,MUMGCCWCDPRDCLV026
celery51,100.71.188.168,celery,,,,MUMGCCWCDPRDCLV027
celery52,100.71.188.169,celery,,,,MUMGCCWCDPRDCLV028
celery53,100.71.188.170,celery,,,,MUMGCCWCDPRDCLV029
celery54,100.71.188.171,celery,,,,MUMGCCWCDPRDCLV030
celery55,100.71.188.172,celery,,,,MUMGCCWCDPRDCLV031
celery56,100.71.188.173,celery,,,,MUMGCCWCDPRDCLV032
celery57,100.71.188.175,celery,,,,MUMGCCWCDPRDCLV033
pillow21,100.71.188.180,pillowtop,,,,MUMGCCWCDPRDPV000
pillow22,100.71.188.181,pillowtop,,,,MUMGCCWCDPRDPV001
pillow23,100.71.188.182,pillowtop,,,,MUMGCCWCDPRDPV002
pillow24,100.71.188.183,pillowtop,,,,MUMGCCWCDPRDPV003
pillow25,100.71.188.184,pillowtop,,,,MUMGCCWCDPRDPV004
pillow26,100.71.188.185,pillowtop,,,,MUMGCCWCDPRDPV005
pillow27,100.71.188.186,pillowtop,,,,MUMGCCWCDPRDPV006
pillow28,100.71.188.187,pillowtop,,,,MUMGCCWCDPRDPV007
pillow29,100.71.188.188,pillowtop,,,,MUMGCCWCDPRDPV008
pillow30,100.71.188.189,pillowtop,,,,MUMGCCWCDPRDPV009
pillow31,100.71.188.190,pillowtop,,,,MUMGCCWCDPRDPV010
pillow32,100.71.188.191,pillowtop,,,,MUMGCCWCDPRDPV011
pillow33,100.71.188.192,pillowtop,,,,MUMGCCWCDPRDPV012
pillow34,100.71.188.193,pillowtop,,,,MUMGCCWCDPRDPV013
pillow35,100.71.188.194,pillowtop,,,,MUMGCCWCDPRDPV014
pillow36,100.71.188.195,pillowtop,,,,MUMGCCWCDPRDPV015
pillow37,100.71.188.196,pillowtop,,,,MUMGCCWCDPRDPV016
