hostname,host_address,group 1,group 2,group 3,group 4,group 5,group 6,var: hostname,var: rabbitmq_nodename,var: public_ip,I.var: kafka_broker_id,var: keepalived_role,var: keepalived_shared_ip,var: keepalived_shared_iface
airflow2,100.71.188.13,airflow,airflow_scheduler,,,,,MUMGCCWCDPRDAFV00,,,,,,
airflow3,100.71.188.178,airflow,,,,,,MUMGCCWCDPRDAFV01,,,,,,
formplayer2,100.71.188.30,formplayer,,,,,,MUMGCCWCDPRDFPV00,,,,,,
formplayer3,100.71.188.75,formplayer,,,,,,MUMGCCWCDPRDFPV01,,,,,,
rabbit2,100.71.188.45,rabbitmq,,,,,,MUMGCCWCDPRDRBV00,rabbit@MUMGCCWCDPRDRBV00,,,,,
rabbit3,100.71.188.78,rabbitmq,,,,,,MUMGCCWCDPRDRBV01,rabbit@MUMGCCWCDPRDRBV01,,,,,
kafka5,100.71.184.253,kafka,zookeeper,,,,,MUMGCCWCDPRDKFV00,,,5,,,
kafka6,100.71.184.254,kafka,,,,,,MUMGCCWCDPRDKFV01,,,6,,,
kafka7,100.71.185.1,kafka,,,,,,MUMGCCWCDPRDKFV02,,,7,,,
kafka8,100.71.185.2,kafka,,,,,,MUMGCCWCDPRDKFV03,,,8,,,
kafka9,100.71.185.3,kafka,,,,,,MUMGCCWCDPRDKFV04,,,9,,,
redis8,100.71.185.7,redis,redis_slave,redis_sentinel,keepalived_redis,,,MUMGCCWCDPRDRDV03,,,,BACKUP,100.71.185.10,ens160
redis9,100.71.185.4,redis,redis_master,redis_sentinel,keepalived_redis,,,MUMGCCWCDPRDRDV04,,,,MASTER,100.71.185.10,ens160
redis10,100.71.185.5,redis,redis_slave,redis_sentinel,keepalived_redis,,,MUMGCCWCDPRDRDV05,,,,BACKUP,100.71.185.10,ens160
control0,100.71.181.9,patch,control,,,,,MUMGCCWCDPRDPTV00,,,,,,
control1,100.71.189.15,patch,,prometheus,alertmanager,grafana,prometheus_proxy,MUMGCCWCDPRDPTV01,,,,,,
proxy2,100.71.181.11,proxy,cas_proxy,staticfiles,,,,MUMGCCWCDPRDPXV01,,14.141.62.10,,,,
proxy3,100.71.181.15,proxy,cas_proxy,,,,,MUMGCCWCDPRDPXV02,,14.141.62.11,,,,
nicbackup,100.71.188.129,lpar2rrd_master,,,,,,MUMGCCWCDFTP01,,,,,,
logproxy1,100.71.185.8,logproxy,sentry,,,,,MUMGCCWCDPRDRDV01,,,1,,,
,,,,,,,,,,,,,,
group,var,val,type,,,,,,,,,,,
sentry,postgresql_max_connections,2000,I,,,,,,,,,,,
